City,Country,Continent,Summer (Olympiad),Winter,Summer (Youth),Winter (Youth),Year,Opening Ceremony,Closing Ceremony
Athens,?Greece,Europe,I,,,,1896,6-April,April 15
Paris,?France,Europe,II,,,,1900,14-May,28-Oct
St. Louis[a],?United States,North America,III,,,,1904,1-Jul,23-Nov
London[c],?United Kingdom,Europe,IV,,,,1908,27-April,31-Oct
Stockholm,?Sweden,Europe,V,,,,1912,5-May,22-Jul
Berlin,?Germany,Europe,VI,,,,1916,Cancelled due to?WWI[10],Cancelled due to?WWI[10]
Antwerp[d],?Belgium,Europe,VII,,,,1920,20-April,September 12[11]
Chamonix,?France,Europe,,I,,,1924,25-Jan,February 5[12]
Paris,?France,Europe,VIII,,,,1924,4-May,July 27[13]
St. Moritz,??Switzerland,Europe,,II,,,1928,11-Feb,February 19[14]
Amsterdam,?Netherlands,Europe,IX,,,,1928,17-May,August 12[15]
Lake Placid,?United States,North America,,III,,,1932,4-Feb,February 15[16]
Los Angeles,?United States,North America,X,,,,1932,30-Jul,August 14[17]
Garmisch-Partenkirchen,?Nazi Germany,Europe,,IV,,,1936,6-Feb,February 16[18]
Berlin,?Nazi Germany,Europe,XI,,,,1936,1-Aug,August 16[19]
Sapporo,?Empire of Japan,Asia,,V,,,1940,Cancelled due to?WWII[10],Cancelled due to?WWII[10]
Garmisch-Partenkirchen[e],?Nazi Germany,Europe,,,,,1940,Cancelled due to?WWII[10],Cancelled due to?WWII[10]
Tokyo,?Empire of Japan,Asia,XII,,,,1940,Cancelled due to?WWII[10],Cancelled due to?WWII[10]
Helsinki[f],?Finland,Europe,,,,,1940,Cancelled due to?WWII[10],Cancelled due to?WWII[10]
Cortina d'Ampezzo,?Italy,Europe,,V,,,1944,Cancelled due to?WWII[10],Cancelled due to?WWII[10]
London,?United Kingdom,Europe,XIII,,,,1944,Cancelled due to?WWII[10],Cancelled due to?WWII[10]
St. Moritz,??Switzerland,Europe,,V,,,1948,30-Jan,8-Feb
London,?United Kingdom,Europe,XIV,,,,1948,29-Jul,14-Aug
Oslo,?Norway,Europe,,VI,,,1952,14-Feb,25-Feb
Helsinki,?Finland,Europe,XV,,,,1952,19-Jul,3-Aug
Cortina d'Ampezzo,?Italy,Europe,,VII,,,1956,26-Jan,5-Feb
Melbourne,?Australia,Oceania,XVI,,,,1956,22-Nov,8-Dec
Stockholm[g],?Sweden,Europe,,,,,1956,10-Jun,17-Jun
Squaw Valley,?United States,North America,,VIII,,,1960,18-Feb,28-Feb
Rome,?Italy,Europe,XVII,,,,1960,25-Aug,11-Sep
Innsbruck,?Austria,Europe,,IX,,,1964,29-Jan,9-Feb
Tokyo,?Japan,Asia,XVIII,,,,1964,10-Oct,24-Oct
Grenoble,?France,Europe,,X,,,1968,6-Feb,18-Feb
Mexico City,?Mexico,North America,XIX,,,,1968,12-Oct,27-Oct
Sapporo,?Japan,Asia,,XI,,,1972,3-Feb,13-Feb
Munich,?West Germany,Europe,XX,,,,1972,26-Aug,11-Sep
Innsbruck,?Austria,Europe,,XII,,,1976,4-Feb,15-Feb
Montreal,?Canada,North America,XXI,,,,1976,17-Jul,1-Aug
Lake Placid,?United States,North America,,XIII,,,1980,13-Feb,24-Feb
Moscow,?Soviet Union,Europe[h],XXII,,,,1980,19-Jul,3-Aug
Sarajevo,?Yugoslavia,Europe,,XIV,,,1984,7-Feb,19-Feb
Los Angeles,?United States,North America,XXIII,,,,1984,28-Jul,12-Aug
Calgary,?Canada,North America,,XV,,,1988,13-Feb,28-Feb
Seoul,?South Korea,Asia,XXIV,,,,1988,17-Sep,2-Oct
Albertville,?France,Europe,,XVI,,,1992,8-Feb,23-Feb
Barcelona,?Spain,Europe,XXV,,,,1992,25-Jul,9-Aug
Lillehammer,?Norway,Europe,,XVII,,,1994,12-Feb,27-Feb
Atlanta,?United States,North America,XXVI,,,,1996,19-Jul,4-Aug
Nagano,?Japan,Asia,,XVIII,,,1998,7-Feb,22-Feb
Sydney,?Australia,Oceania,XXVII,,,,2000,15-Sep,1-Oct
Salt Lake City,?United States,North America,,XIX,,,2002,8-Feb,24-Feb
Athens,?Greece,Europe,XXVIII,,,,2004,13-Aug,29-Aug
Turin,?Italy,Europe,,XX,,,2006,10-Feb,26-Feb
Beijing[i],?China,Asia,XXIX,,,,2008,8-Aug,24-Aug
Vancouver,?Canada,North America,,XXI,,,2010,12-Feb,28-Feb
Singapore,?Singapore,Southeast Asia,,,I,,2010,14-Aug,26-Aug
Innsbruck,?Austria,Europe,,,,I,2012,13-Jan,22-Jan
London,?United Kingdom,Europe,XXX,,,,2012,27-Jul,12-Aug
Sochi,?Russia,Europe[h],,XXII,,,2014,7-Feb,23-Feb
Nanjing,?China,Asia,,,II,,2014,16-Aug,28-Aug
Lillehammer,?Norway,Europe,,,,II,2016,12-Feb,21-Feb
Rio de Janeiro,?Brazil,South America,XXXI,,,,2016,5-Aug,21-Aug
Pyeongchang,?South Korea,Asia,,XXIII,,,2018,9-Feb,25-Feb
Buenos Aires,?Argentina,South America,,,III,,2018,6-Oct,18-Oct
Lausanne,??Switzerland,Europe,,,,III,2020,10-Jan,19-Jan
Tokyo,?Japan,Asia,XXXII,,,,2020,24-Jul,9-Aug
Beijing,?China,Asia,,XXIV,,,2022,4-Feb,20-Feb
TBD,TBD,Africa,,,IV,,2022,(TBD),(TBD)
Paris,?France,Europe,XXXIII,,,,2024,26-Jul,11-Aug
TBD,TBD,,,XXV,,,2026,(TBD),(TBD)
Los Angeles,?United States,North America,XXXIV,,,,2028,21-Jul,6-Aug
